,num_units,dropout_rate,loss,accuracy
0,45,0.5928446182250183,0.20307955145835876,0.9122806787490845
1,1,0.6027633760716439,0.7307361960411072,0.5877193212509155
2,4,0.8472517387841254,0.5894335508346558,0.7631579041481018
3,20,0.6458941130666561,0.32051074504852295,0.9122806787490845
4,37,0.2975346065444723,0.14963817596435547,0.9473684430122375
5,25,0.9636627605010293,0.5579967498779297,0.8157894611358643
6,59,0.47766511732134986,0.16345684230327606,0.9122806787490845
7,40,0.5288949197529045,0.440383642911911,0.9298245906829834
8,25,0.3927847961008297,0.1731759011745453,0.9473684430122375
9,26,0.07103605819788694,0.2345375418663025,0.9298245906829834
10,10,0.6481718720511972,0.4692592918872833,0.8771929740905762
11,17,0.832619845547938,0.4751494228839874,0.9035087823867798
12,63,0.14035078041264515,0.0984247699379921,0.9736841917037964
13,1,0.978618342232764,0.6936164498329163,0.5877193212509155
14,25,0.8009107519796442,0.5079044103622437,0.9473684430122375
15,30,0.7805291762864555,0.4927956461906433,0.8947368264198303
16,15,0.7206326547259168,0.3999026119709015,0.8947368264198303
17,2,0.1433532874090464,0.47928136587142944,0.8771929740905762
18,33,0.5218483217500717,0.23427832126617432,0.9385964870452881
19,53,0.4736004193466574,0.21093833446502686,0.9473684430122375
20,63,0.7742336894342167,0.38865914940834045,0.859649121761322
21,56,0.21655035442437187,0.11109785735607147,0.9561403393745422
22,1,0.018789800436355142,0.5065790414810181,0.9385964870452881
23,54,0.14967486718368317,0.20168977975845337,0.9210526347160339
24,41,0.6169339968747569,0.26123031973838806,0.9385964870452881
25,16,0.9025984755294046,0.5912476181983948,0.7982456088066101
26,43,0.359507900573786,0.12244296073913574,0.9473684430122375
27,57,0.9023485831739843,0.5301993489265442,0.719298243522644
28,40,0.06022547162926983,0.36364397406578064,0.9298245906829834
29,36,0.6531400357979377,0.4361281991004944,0.9736841917037964
30,12,0.2103825610738409,0.3370528817176819,0.8684210777282715
31,28,0.7506861412184562,0.48232191801071167,0.6666666865348816
32,36,0.3637107709426226,0.20285174250602722,0.9298245906829834
33,58,0.038425426472734725,0.1391463577747345,0.9473684430122375
34,12,0.9883738380592262,1.0723174810409546,0.42105263471603394
35,5,0.6527903170054908,0.6174230575561523,0.5877193212509155
36,53,0.16130951788499626,0.3895832896232605,0.9210526347160339
37,37,0.5818503294385343,0.30490466952323914,0.9298245906829834
38,15,0.4663107728563063,0.47288602590560913,0.9122806787490845
39,36,0.6235101011318682,0.27536141872406006,0.9122806787490845
40,16,0.11037514116430513,0.16426771879196167,0.9298245906829834
41,22,0.3172017420692961,0.19035407900810242,0.9385964870452881
42,6,0.1965823616800535,0.3225535750389099,0.9298245906829834
43,1,0.6625268669500443,0.6338140368461609,0.8421052694320679
44,31,0.09710127579306127,0.16323116421699524,0.9473684430122375
45,51,0.6736596308357894,0.22433212399482727,0.9561403393745422
46,49,0.9764594650133958,0.7114138603210449,0.5964912176132202
47,35,0.5096243767199001,0.22538328170776367,0.9385964870452881
48,49,0.604845519745046,0.18812403082847595,0.9473684430122375
49,10,0.019987665408758737,0.20458479225635529,0.9210526347160339
