,cycle,num_units,dropout_rate,loss,accuracy
0,0,11,0.2828069625764096,0.3381221294403076,0.9473684430122375
1,0,59,0.3594444639693215,0.16550864279270172,0.9298245906829834
2,0,60,0.11872771895424405,0.11281286180019379,0.9473684430122375
3,0,35,0.8804758892525955,0.5434477925300598,0.8859649300575256
4,0,31,0.06414749634878436,0.23184067010879517,0.9385964870452881
5,0,19,0.5651888666048753,0.27039992809295654,0.9385964870452881
6,0,21,0.2653894909394454,0.17136120796203613,0.9210526347160339
7,0,28,0.9167229540194608,0.6447353959083557,0.7017543911933899
8,0,59,0.5759464955561793,0.19112899899482727,0.9298245906829834
9,0,11,0.27771856128103245,0.2231724113225937,0.9385964870452881
10,1,12,0.2939061283247395,0.3018282651901245,0.9035087823867798
11,1,55,0.5602532210582497,0.2007245272397995,0.9473684430122375
12,1,17,0.5455667288713573,0.3189425468444824,0.9122806787490845
13,1,60,0.37897306054130336,0.11979451030492783,0.9473684430122375
14,1,58,0.1268362425733132,0.12161199748516083,0.9561403393745422
15,1,66,0.12312606095307405,0.12390423566102982,0.9649122953414917
16,2,59,0.12569071937356074,0.10995174944400787,0.9385964870452881
17,2,61,0.12897096349534734,0.11150744557380676,0.9561403393745422
18,2,21,0.25358479066654255,0.2711680829524994,0.9385964870452881
19,2,20,0.5740776632562727,0.24777895212173462,0.9473684430122375
20,3,58,0.1227854954567445,0.13608576357364655,0.9649122953414917
21,3,11,0.27689133076701217,0.298290491104126,0.9210526347160339
22,4,17,0.5364277616226992,0.22483673691749573,0.9298245906829834
