,lookback,num_units,loss,accuracy
0,69,104,0.3235749900341034,0.15275372564792633
1,11,84,0.24347762763500214,0.08050722628831863
2,23,115,0.33440467715263367,0.1603020876646042
3,38,88,0.3465692400932312,0.17395532131195068
4,72,89,0.2977592647075653,0.13330218195915222
5,90,13,0.2695051431655884,0.12090080231428146
6,60,66,0.30722010135650635,0.12266115099191666
7,104,40,0.3227865993976593,0.16019512712955475
8,89,47,0.30516520142555237,0.13038647174835205
9,90,82,0.31753209233283997,0.1500994861125946
10,39,26,0.3105315864086151,0.13092656433582306
11,79,73,0.2791520953178406,0.11856389790773392
12,11,21,0.2071479856967926,0.06342069804668427
13,117,81,0.3856150507926941,0.2107287496328354
14,117,70,0.28833305835723877,0.12433741241693497
15,81,48,0.27432191371917725,0.11508697271347046
16,66,83,0.31856510043144226,0.14109301567077637
17,101,89,0.3024865984916687,0.13090963661670685
18,51,116,0.30345419049263,0.13776224851608276
19,31,20,0.36970993876457214,0.22761324048042297
20,21,15,0.28240710496902466,0.11290383338928223
21,41,33,0.3890918791294098,0.23740039765834808
22,67,10,0.3122195899486542,0.14103449881076813
23,59,33,0.3909341096878052,0.24969401955604553
24,33,75,0.3236815631389618,0.14433898031711578
25,118,24,0.3246694505214691,0.15477250516414642
26,37,127,0.27857276797294617,0.1048499122262001
27,77,115,0.32195723056793213,0.14535075426101685
28,57,29,0.2754862606525421,0.11519674956798553
29,36,1,1.0124694108963013,1.3749679327011108
30,2,37,0.2123737335205078,0.06035006046295166
31,55,6,0.43932390213012695,0.2781113088130951
32,40,105,0.33428117632865906,0.15611116588115692
33,118,18,0.49151811003685,0.37452951073646545
34,81,5,0.3042396306991577,0.1418505758047104
35,107,43,0.2535340487957001,0.09007971733808517
36,60,32,0.4041260778903961,0.25522828102111816
37,3,66,0.19272762537002563,0.04804190993309021
38,105,42,0.4134550392627716,0.3014058768749237
39,59,36,0.2901351749897003,0.1441916525363922
40,104,120,0.3438032865524292,0.16895435750484467
41,13,47,0.26054060459136963,0.09775645285844803
42,84,92,0.3907319903373718,0.22817575931549072
43,2,15,0.2645828425884247,0.08964641392230988
44,101,54,0.33233949542045593,0.14456449449062347
45,14,122,0.28821828961372375,0.13164255023002625
46,44,85,0.3128650486469269,0.12883202731609344
47,77,69,0.28462937474250793,0.12325289100408554
48,8,69,0.23310309648513794,0.07756082713603973
49,49,117,0.3409099876880646,0.16972199082374573
