,cycle,lookback,num_units,loss,accuracy
0,0,46,48,0.3564015030860901,0.18945908546447754
1,0,119,65,0.33191636204719543,0.15026141703128815
2,0,69,124,0.30011996626853943,0.12043561041355133
3,0,69,104,0.2905736267566681,0.11720652878284454
4,0,11,84,0.21491041779518127,0.06842858344316483
5,0,23,115,0.33432823419570923,0.1620708405971527
6,0,38,88,0.2868758738040924,0.1145155057311058
7,0,72,89,0.3711867034435272,0.19247598946094513
8,0,90,13,0.25266218185424805,0.10372083634138107
9,0,60,66,0.3184700608253479,0.1594177931547165
10,0,104,40,0.3448525667190552,0.19414493441581726
11,0,89,47,0.2882096469402313,0.12428287416696548
12,0,90,82,0.2823399305343628,0.10714038461446762
13,0,39,26,0.4403661787509918,0.3154338300228119
14,0,79,73,0.35075294971466064,0.1688741147518158
15,0,11,21,0.2655450999736786,0.09716666489839554
16,0,117,81,0.3964023292064667,0.22613874077796936
17,0,117,70,0.2881341874599457,0.12090190500020981
18,1,98,92,0.342948853969574,0.1905926764011383
19,1,38,27,0.22663497924804688,0.07565873116254807
20,1,71,112,0.3072449564933777,0.1351713389158249
21,1,117,68,0.3017316162586212,0.12510795891284943
22,1,11,83,0.2290046662092209,0.07924612611532211
23,1,78,13,0.2964070439338684,0.14443673193454742
24,1,61,73,0.3313624858856201,0.14963026344776154
25,1,85,46,0.3636128902435303,0.18779592216014862
26,1,78,49,0.341333270072937,0.17954865097999573
27,1,82,42,0.2896445095539093,0.12351734191179276
28,1,10,85,0.2701583504676819,0.11000631749629974
29,1,42,78,0.3397766053676605,0.17044061422348022
30,2,21,118,0.32345664501190186,0.15671692788600922
31,2,37,84,0.31700265407562256,0.1428258866071701
32,2,10,86,0.26505234837532043,0.10445141047239304
33,2,10,82,0.20354749262332916,0.06994634121656418
34,2,72,13,0.3374239206314087,0.15224014222621918
35,2,74,103,0.33850061893463135,0.15988782048225403
36,2,10,88,0.26688411831855774,0.10906697809696198
37,2,66,115,0.3181729316711426,0.1508338898420334
38,3,84,45,0.25162622332572937,0.09570389240980148
39,3,110,71,0.3044823408126831,0.12485291063785553
40,3,10,83,0.2955274283885956,0.122601218521595
41,3,11,88,0.20594550669193268,0.0668715313076973
42,3,91,78,0.24427805840969086,0.08930063247680664
43,4,9,79,0.27957937121391296,0.1197764202952385
44,4,9,87,0.20521573722362518,0.06434132903814316
45,4,46,47,0.3795326352119446,0.22199571132659912
46,5,67,113,0.31749698519706726,0.14136195182800293
47,5,21,118,0.29385530948638916,0.11903661489486694
48,6,9,83,0.23353829979896545,0.07800280302762985
