,cycle,num_units,dropout_rate,loss,accuracy
0,0,41,0.7561066938650409,0.45977023243904114,0.9473684430122375
1,0,32,0.592041931271839,0.2710989713668823,0.9385964870452881
2,0,3,0.6389210762313129,0.4943355321884155,0.5877193212509155
3,0,4,0.952749011516985,0.8108983039855957,0.5877193212509155
4,0,15,0.44919773821837206,0.41783273220062256,0.8859649300575256
5,0,4,0.6994792753175043,0.6330353617668152,0.5964912176132202
6,0,61,0.7670237035587267,0.43661293387413025,0.6315789222717285
7,0,58,0.39650574084698464,0.1331430822610855,0.9473684430122375
8,0,57,0.24979627565497808,0.18890225887298584,0.9561403393745422
9,0,30,0.8817353618548528,0.5853258371353149,0.5877193212509155
10,1,61,0.3966457741901877,0.1451769918203354,0.9649122953414917
11,1,65,0.4117305250123853,0.1297036111354828,0.9649122953414917
12,1,62,0.6686796465643264,0.2840769290924072,0.9298245906829834
13,1,15,0.42405196114038346,0.3221731185913086,0.9298245906829834
14,1,56,0.35796264052073995,0.20866799354553223,0.9298245906829834
15,1,15,0.4600830285699288,0.18483006954193115,0.9473684430122375
16,2,66,0.4228639577615223,0.14358939230442047,0.9561403393745422
17,2,64,0.44075636289711984,0.13992954790592194,0.9649122953414917
18,2,56,0.26720089688611026,0.13647063076496124,0.9473684430122375
19,2,15,0.39391425937213204,0.27225926518440247,0.9473684430122375
20,3,57,0.2829985108196078,0.11977474391460419,0.9649122953414917
21,3,62,0.42969422692301695,0.1568390280008316,0.9298245906829834
22,4,58,0.38472045402094107,0.1370527595281601,0.9473684430122375
