,cycle,lookback,num_units,loss,accuracy
0,0,55,30,0.2817155122756958,0.13958309590816498
1,0,69,36,0.3040388524532318,0.14271239936351776
2,0,41,10,0.2731788456439972,0.11345358937978745
3,0,75,42,0.38388577103614807,0.2411986142396927
4,0,25,4,0.4437271058559418,0.25431862473487854
5,0,48,91,0.3135633170604706,0.14181280136108398
6,0,52,109,0.35727089643478394,0.1891534924507141
7,0,5,32,0.22862625122070312,0.08154850453138351
8,0,11,11,0.2520213723182678,0.09903018176555634
9,0,29,46,0.3210591971874237,0.14911288022994995
10,1,12,11,0.2412092685699463,0.08801481127738953
11,1,40,9,0.3024972975254059,0.13546764850616455
12,1,62,35,0.3559758961200714,0.19321699440479279
13,1,12,11,0.27525031566619873,0.11112893372774124
14,1,5,32,0.21207386255264282,0.06441249698400497
15,1,57,33,0.2795209586620331,0.10725775361061096
16,2,53,116,0.3150337040424347,0.14561393857002258
17,2,12,11,0.3101572096347809,0.13152344524860382
18,2,45,86,0.34374287724494934,0.1790725141763687
19,2,11,11,0.2542465031147003,0.0889550969004631
20,3,4,30,0.23388569056987762,0.0684482753276825
21,3,12,11,0.2697828412055969,0.10996836423873901
22,4,5,32,0.20566831529140472,0.06413622200489044
