,cycle,learning_rate,num_filters,loss,accuracy
0,0,0.001994638447276318,12,0.2971142530441284,0.894599974155426
1,0,0.005351456545529512,12,0.3037152886390686,0.8924999833106995
2,0,0.0487657785915432,60,0.6029037833213806,0.7775999903678894
3,0,0.00046692260295589787,48,0.29484525322914124,0.8956999778747559
4,0,0.010968991713349741,36,0.3559733033180237,0.8723999857902527
5,0,0.034611945994943986,49,2.306701898574829,0.10000000149011612
6,0,0.00022315454102946001,26,0.3546680510044098,0.878000020980835
7,0,0.027630799986965476,49,0.4559134542942047,0.8337000012397766
8,0,0.010624713883091958,20,0.32113075256347656,0.8855999708175659
9,0,0.005543941231681776,25,0.2989971935749054,0.8988999724388123
10,1,0.005674726627062277,26,0.3076390027999878,0.8960000276565552
11,1,0.010180783438101615,34,0.3367840051651001,0.8744999766349792
12,1,0.00022165896021243402,25,0.35177475214004517,0.8744999766349792
13,1,0.026068672479265306,47,0.49306508898735046,0.8137000203132629
14,1,0.030419316460071157,43,0.5994483232498169,0.7879999876022339
15,1,0.0019170053434587326,12,0.27554574608802795,0.9018999934196472
16,2,0.0021609334103502224,11,0.2891281545162201,0.8974999785423279
17,2,0.0004371444711716783,44,0.31600597500801086,0.8871999979019165
18,2,0.0018353293039168111,12,0.2927721440792084,0.9018999934196472
19,2,0.02566382640343168,47,0.4407713711261749,0.8407999873161316
20,3,0.005768090663539514,26,0.31335264444351196,0.888700008392334
21,3,0.0019966042325731247,11,0.2952825725078583,0.8984000086784363
22,4,0.0019592723890439674,12,0.27592548727989197,0.8992000222206116
